Top-100 recommended products for customer 1008206:
items_id 		 similarity
(401, 1.000000000000297)
(16461009, 1.000000000000001)
(16421001, 0.28653412753062646)
(16424061, 0.24325638628366394)
(3425909001069, 0.2357022603955158)
(16424062, 0.22202651789344288)
(9002490219550, 0.21320071635561041)
(16420005, 0.21216710619787638)
(16424043, 0.20191135200894697)
(16420014, 0.1889822365046136)
(16420015, 0.1889822365046136)
(16424029, 0.1849000654084097)
(16424044, 0.18374210381479172)
(16424053, 0.17542826450672636)
(16424064, 0.17542826450672636)
(9002490239244, 0.17407765595569785)
(5060335635860, 0.17407765595569785)
(16424045, 0.17359126870735342)
(16424058, 0.16809954440415775)
(3760257660057, 0.16666666666666666)
(3430235, 0.16329931618554522)
(16424059, 0.1609454000897248)
(16430016, 0.157485197087178)
(16462001, 0.15669579263200217)
(16424060, 0.15118578920369088)
(602652176661, 0.15075567228888181)
(3222473460007, 0.14907119849998596)
(16424041, 0.14684461964287052)
(3700520460403, 0.14586499149789456)
(3217770314108, 0.14586499149789456)
(9782215160397, 0.14586499149789456)
(5413110010725, 0.14586499149789456)
(9782092573730, 0.14586499149789456)
(3450143, 0.14586499149789456)
(619659115890, 0.14586499149789456)
(5449000214805, 0.14586499149789456)
(3068320116747, 0.1414213562373095)
(3242272250050, 0.1414213562373095)
(9782226438393, 0.1414213562373095)
(9782374480343, 0.1414213562373095)
(3367651006988, 0.1414213562373095)
(3700520440405, 0.1414213562373095)
(3367651007190, 0.1414213562373095)
(16000502666, 0.1414213562373095)
(9782266275149, 0.1414213562373095)
(9782266273015, 0.1414213562373095)
(7638900410617, 0.1414213562373095)
(3242272200154, 0.1414213562373095)
(3240931540511, 0.1414213562373095)
(5413110011470, 0.1414213562373095)
(3513851559575, 0.1414213562373095)
(3281780877953, 0.1414213562373095)
(16461010, 0.13957263155977065)
(9782266255479, 0.13736056394868904)
(4004641217113, 0.13736056394868904)
(42306702, 0.13736056394868904)
(9782266272964, 0.13736056394868904)
(451, 0.13645916853637893)
(602652176753, 0.13483997249264842)
(90494031, 0.1336306209562122)
(9782368524787, 0.1336306209562122)
(3250547051172, 0.1336306209562122)
(3344428061555, 0.1336306209562122)
(3344428061562, 0.1336306209562122)
(4008789091468, 0.1336306209562122)
(9782067235984, 0.1336306209562122)
(2603394000113, 0.1336306209562122)
(2603394000144, 0.1336306209562122)
(5029053550237, 0.1336306209562122)
(3378921953055, 0.1336306209562122)
(8411457808255, 0.1336306209562122)
(3513851559872, 0.1336306209562122)
(16461005, 0.13333333333333336)
(16420003, 0.12858612496840993)
(3367651007664, 0.12649110640673517)
(50663569, 0.12309149097933275)
(16424019, 0.12309149097933275)
(16424057, 0.11695217633781757)
(16424048, 0.11572751247156896)
(16424056, 0.1145873121285264)
(9002490237523, 0.11396057645963795)
(16430013, 0.11396057645963795)
(3103220009222, 0.11396057645963795)
(16461004, 0.11331853993401474)
(3415581319149, 0.11215443081840888)
(3033490873479, 0.1111111111111111)
(16461008, 0.11013346473215288)
(1143062, 0.10721125348377948)
(3033490004385, 0.10721125348377948)
(3441390062020, 0.10721125348377948)
(4033100006081, 0.10721125348377948)
(3700232600364, 0.10721125348377948)
(3217770310612, 0.10721125348377948)
(9782215144830, 0.10721125348377948)
(9782215145370, 0.10721125348377948)
(5420019721676, 0.10721125348377948)
(7612720201235, 0.10721125348377948)
(8714786244528, 0.10721125348377948)
(5010775190320, 0.10540925533894598)
(3017760030106, 0.10341753799900383)
